  dTime p-p@dt=0 Derivative
  1.507662165739223E+8         2.976078104234766E+7         5.946246666090757E+6        
  1.557662165739223E+8         2.995481801936602E+7         5.948123207528703E+6        
  1.607662165739223E+8         3.014278132241813E+7         5.949836340599462E+6        
  1.657662165739223E+8         3.03250382130428E+7         5.951490880896748E+6        
  1.707662165739223E+8         3.050192437807445E+7         5.953049282495519E+6        
  1.757662165739223E+8         3.067374904877944E+7         5.954517939642456E+6        
  1.807662165739223E+8         3.084079391346684E+7         5.955904365844462E+6        
  1.857662165739223E+8         3.100331775146931E+7         5.957220940213381E+6        
  1.907662165739223E+8         3.116155885407493E+7         5.958440957283732E+6        
  1.957662165739223E+8         3.131573713368003E+7         5.959625500346721E+6        
  2.007662165739223E+8         3.146605596816028E+7         5.960736116696422E+6        
  2.057662165739223E+8         3.161270381939196E+7         5.961820055266579E+6        
  2.107662165739223E+8         3.175585377364165E+7         5.962798265530183E+6        
  2.157662165739223E+8         3.189567051087284E+7         5.96378569473497E+6        
  2.207662165739223E+8         3.203230586985335E+7         5.964700285929914E+6        
  2.307662165739223E+8         3.22965895511895E+7         5.966433198228357E+6        
  2.407662165739223E+8         3.254973110948093E+7         5.968029442480432E+6        
  2.507662165739223E+8         3.27926321202535E+7         5.96947983870573E+6        
  2.607662165739222E+8         3.302608852067221E+7         5.970835048260762E+6        
  2.707662165739222E+8         3.325080539895263E+7         5.97209093368456E+6        
  2.807662165739221E+8         3.346741560236441E+7         5.973256055168446E+6        
  2.90766216573922E+8         3.367648379713207E+7         5.974322306265271E+6        
  3.00766216573922E+8         3.387851758760386E+7         5.975340157249203E+6        
  3.10766216573922E+8         3.4073974958966E+7         5.976292076117898E+6        
  3.207662165739219E+8         3.426327054425437E+7         5.977160367465434E+6        
  3.307662165739219E+8         3.444678024021786E+7         5.977998924523036E+6        
  3.407662165739218E+8         3.462484696163979E+7         5.978788439248729E+6        
  3.507662165739217E+8         3.479778521570352E+7         5.97953218213308E+6        
  3.607662165739217E+8         3.496588219334173E+7         5.980234008665687E+6        
  3.707662165739217E+8         3.512940160222156E+7         5.980900308012093E+6        
