 	dTime	p-p@dt=0	Derivative
 	8.107662165739236E+6        	1.476641450477291E+6        	1.216815475868688E+6        
 	8.307662165739236E+6        	1.506617427313682E+6        	1.246143691220985E+6        
 	8.507662165739236E+6        	1.536536836064894E+6        	1.276653387944337E+6        
 	8.707662165739238E+6        	1.566460772033852E+6        	1.306747119741131E+6        
 	8.957662165739238E+6        	1.60387508657689E+6        	1.344316480873592E+6        
 	9.20766216573924E+6        	1.641300713773336E+6        	1.380512713470663E+6        
 	9.457662165739242E+6        	1.678737687411297E+6        	1.41775020138707E+6        
 	9.707662165739242E+6        	1.716185289806232E+6        	1.454953397704598E+6        
 	9.957662165739244E+6        	1.753642220157579E+6        	0

