  dTime p-p@dt=0 Derivative
  1.507662165739223E+8         2.626021586180124E+7         5.854773168321722E+6        
  1.557662165739223E+8         2.645132173828499E+7         5.859495515529926E+6        
  1.607662165739223E+8         2.663653371480921E+7         5.863816858569155E+6        
  1.657662165739223E+8         2.681620117754595E+7         5.867989728671908E+6        
  1.707662165739223E+8         2.699064508337407E+7         5.871923859229563E+6        
  1.757662165739223E+8         2.716016459944595E+7         5.875635178016889E+6        
  1.807662165739223E+8         2.732503028967159E+7         5.879142041342869E+6        
  1.857662165739223E+8         2.748549094668732E+7         5.882473796370331E+6        
  1.907662165739223E+8         2.76417758718563E+7         5.885566000230498E+6        
  1.957662165739223E+8         2.779409686393894E+7         5.888567744020784E+6        
  2.007662165739223E+8         2.794264996004368E+7         5.891384946305589E+6        
  2.057662165739223E+8         2.808761696503067E+7         5.894135100012242E+6        
  2.107662165739223E+8         2.822916238041408E+7         5.896622140686226E+6        
  2.157662165739223E+8         2.836744798596341E+7         5.899130667357856E+6        
  2.207662165739223E+8         2.850262088316222E+7         5.901456621242118E+6        
  2.307662165739223E+8         2.876416812547993E+7         5.905867020021171E+6        
  2.407662165739223E+8         2.901479881730235E+7         5.909931828917809E+6        
  2.507662165739223E+8         2.925538776723995E+7         5.913630086149305E+6        
  2.607662165739222E+8         2.948670758333385E+7         5.91708765573981E+6        
  2.707662165739222E+8         2.970944137413861E+7         5.920294320520888E+6        
  2.807662165739221E+8         2.992420872163454E+7         5.923271709832111E+6        
  2.90766216573922E+8         3.013156006282182E+7         5.925999375001439E+6        
  3.00766216573922E+8         3.03319905775403E+7         5.928603034300146E+6        
  3.10766216573922E+8         3.052594735586236E+7         5.931039576174203E+6        
  3.207662165739219E+8         3.071383543867678E+7         5.9332648570089E+6        
  3.307662165739219E+8         3.089602125305218E+7         5.935413749045151E+6        
  3.407662165739218E+8         3.10728399845514E+7         5.937437984664828E+6        
  3.507662165739217E+8         3.124460103670412E+7         5.939345889906137E+6        
  3.607662165739217E+8         3.141158580503248E+7         5.941147182245361E+6        
  3.707662165739217E+8         3.157405279788742E+7         5.942857721598672E+6        
  3.807662165739216E+8         3.173224005591676E+7         5.944443020756664E+6        
  3.907662165739215E+8         3.188636725977883E+7         5.945982227289083E+6        
  4.007662165739215E+8         3.20366375731265E+7         5.947434777239657E+6        
  4.107662165739214E+8         3.218323925980898E+7         5.948841274216173E+6        
  4.207662165739214E+8         3.232634465294191E+7         5.950124635711263E+6        
  4.307662165739214E+8         3.246611890726472E+7         5.951380431262611E+6        
  4.407662165739213E+8         3.260271371033008E+7         5.952578418546137E+6        
  4.557662165739212E+8         3.280195135687868E+7         5.954294911539577E+6        
  4.707662165739211E+8         3.299479064996798E+7         5.955890796441693E+6        
  4.857662165739211E+8         3.318162979404765E+7         5.957386981130255E+6        
  5.007662165739211E+8         3.336283089520156E+7         5.958792678768269E+6        
  5.15766216573921E+8         3.353872420043847E+7         5.960127051248143E+6        
  5.307662165739209E+8         3.370960958422618E+7         5.961387350776843E+6        
  5.457662165739209E+8         3.387576608707873E+7         5.962577851148953E+6        
  5.607662165739207E+8         3.403744872751681E+7         5.963703903235784E+6        
  5.757662165739207E+8         3.419489216412129E+7         5.96475412234393E+6        
  5.907662165739206E+8         3.43483130454188E+7         5.965764226475882E+6        
  6.057662165739205E+8         3.449791180837537E+7         5.966749913302254E+6        
  6.207662165739205E+8         3.464387425773253E+7         5.967662647290384E+6        
  6.357662165739204E+8         3.478637295748419E+7         5.968512117997953E+6        
  6.507662165739204E+8         3.492556846069729E+7         5.969344078680741E+6        
  6.707662165739203E+8         3.510627934857946E+7         5.97041309923189E+6        
  6.907662165739201E+8         3.528171049511121E+7         5.97140111230249E+6        
  7.107662165739201E+8         3.545216180350676E+7         5.972335447019882E+6        
  7.307662165739199E+8         3.5617908238102E+7         5.973220208533459E+6        
  7.507662165739198E+8         3.577920258201348E+7         5.974064905787001E+6        
  7.707662165739198E+8         3.593627776196773E+7         5.974847670324659E+6        
  7.907662165739197E+8         3.608934887618331E+7         5.97560462666744E+6        
  8.107662165739194E+8         3.623861496970208E+7         5.976324847134756E+6        
  8.307662165739194E+8         3.63842598862932E+7         5.977018090279242E+6        
  8.507662165739193E+8         3.65264551989923E+7         5.977655373244535E+6        
  8.707662165739193E+8         3.666536115875132E+7         5.978277959281215E+6        
  8.957662165739191E+8         3.68345936441614E+7         5.979017171241049E+6        
  9.207662165739189E+8         3.699918734658705E+7         5.979735602565331E+6        
  9.457662165739189E+8         3.715938980990999E+7         5.980413802916108E+6        
  9.707662165739194E+8         3.731542926461819E+7         5.981057771387289E+6        
  9.957662165739198E+8         3.74675165870053E+7         0

