 	dTime	p-p@dt=0	Derivative
 	4.201068510264544E+5        	4.229775570771247E+5        	72300.97906998998
 	4.301068510264544E+5        	4.246844997636229E+5        	73368.13616855795
 	4.401068510264543E+5        	4.263760947239175E+5        	74421.88485789772
 	4.551068510264544E+5        	4.28887516593717E+5        	75980.12681919496
 	4.701068510264544E+5        	4.313711277293637E+5        	77649.74657867773
 	4.851068510264544E+5        	4.338301795178577E+5        	79365.06548231383
 	5.001068510264544E+5        	4.362674425802827E+5        	81118.40053467524
 	5.151068510264544E+5        	4.38685285031803E+5        	82889.23145866049
 	5.301068510264544E+5        	4.410842163135782E+5        	84696.97955803099
 	5.451068510264544E+5        	4.434652495961487E+5        	86539.68112992733
 	5.601068510264544E+5        	4.458326986664087E+5        	88412.21050735802
 	5.751068510264544E+5        	4.481881249546334E+5        	90362.00898717187
 	5.901068510264544E+5        	4.505328718076199E+5        	92286.46293579355
 	6.051068510264544E+5        	4.52868096311532E+5        	94250.076209776
 	6.201068510264544E+5        	4.551947960656211E+5        	96237.67846728909
 	6.351068510264544E+5        	4.575138317851052E+5        	98237.28084394163
 	6.501068510264544E+5        	4.598259464446157E+5        	1.002623182389694E+5        
 	6.651068510264544E+5        	4.621306479851082E+5        	1.023074900050248E+5        
 	6.851068510264544E+5        	4.65191905097656E+5        	1.050533622164346E+5        
 	7.051068510264544E+5        	4.682447410975397E+5        	1.077676561894646E+5        
 	7.251068510264544E+5        	4.712904078886434E+5        	1.105634689391471E+5        
 	7.451068510264544E+5        	4.743299343917146E+5        	1.133868753501397E+5        
 	7.651068510264544E+5        	4.773641637181714E+5        	1.162488249848729E+5        
 	7.851068510264544E+5        	4.803937838587388E+5        	1.190810294631114E+5        
 	8.051068510264544E+5        	4.834193531058207E+5        	1.219425669887057E+5        
 	8.251068510264544E+5        	4.864413211809173E+5        	1.248195387779639E+5        
 	8.451068510264544E+5        	4.894567978209332E+5        	1.276830173697765E+5        
 	8.651068510264544E+5        	4.924682112054601E+5        	1.305874988982848E+5        
 	8.851068510264544E+5        	4.954774495203495E+5        	1.334999733797583E+5        
 	9.101068510264544E+5        	4.99236517713204E+5        	1.370689959639928E+5        
 	9.351068510264541E+5        	5.029933725345954E+5        	1.406208805483686E+5        
 	9.601068510264537E+5        	5.067484525648579E+5        	1.44249493911558E+5        
 	9.851068510264531E+5        	5.10502073151961E+5        	0

